fuente,indicador,anio,departamento,casos,poblacion_0a17_ech,n_muestral_poblacion,tasa_por_10mil,pobreza_2019_pct,n_muestral_pobreza_2019_pct,hacinamiento_2019_pct,n_muestral_hacinamiento_2019_pct
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Artigas,87,20406.0,735,42.63,18.1,735,2.12,442
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Canelones,362,151348.0,3834,23.92,9.99,3834,5.68,2303
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Cerro Largo,58,24499.0,780,23.67,15.66,780,5.6,472
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Colonia,66,32797.0,985,20.12,7.63,985,2.29,605
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Durazno,57,15734.0,549,36.23,16.87,549,3.51,310
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Flores,26,6830.0,257,38.07,7.63,257,1.36,159
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Florida,51,18313.0,534,27.85,8.81,534,1.62,321
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Lavalleja,42,14963.0,445,28.07,13.33,445,4.16,256
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Maldonado,143,47049.0,1159,30.39,4.82,1159,2.77,709
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Montevideo,626,309135.0,7744,20.25,24.07,7744,4.6,4693
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Paysandú,1,35921.0,1064,0.28,15.74,1064,7.59,588
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Rivera,87,30123.0,998,28.88,18.97,998,3.31,593
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Rocha,60,18819.0,743,31.88,13.14,743,1.92,463
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Río Negro,49,17069.0,483,28.71,11.9,483,3.05,283
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Salto,104,37383.0,1238,27.82,13.71,1238,4.81,691
fiscalia,actuaciones FGN delitos sexuales NNA,2020,San José,73,30305.0,966,24.09,4.77,966,3.66,572
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Soriano,62,23326.0,663,26.58,11.74,663,3.52,363
fiscalia,actuaciones FGN delitos sexuales NNA,2020,Tacuarembó,84,25595.0,807,32.82,14.04,807,2.61,480
