cuadro,titulo,fila,departamento,columna,valor,unidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Infancia|Mujeres,674.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Infancia|Varones,639.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Adolescencia|Mujeres,399.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Adolescencia|Varones,387.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Juventud|Mujeres,51.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Juventud|Varones,37.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Juventud y Adultez|Mujeres,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Juventud y Adultez|Varones,4.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Total|Mujeres,1328.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Total|Varones,1250.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Total general,2578.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Afinidad,Total país,Primera Infancia|Mujeres,8.0,cantidad
