indicador_codigo,indicador_nombre,dimension,anio,apertura,valor,unidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,motivo=Problemas vinculados a las capacidades de cuidado familiar,1239.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,motivo=Problemas vinculados a las condiciones materiales de la familia,68.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,motivo=Problemas vinculados a las condiciones materiales de la familia,87.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,motivo=Problemas vinculados a las condiciones materiales de la familia,83.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,motivo=Problemas vinculados a las condiciones materiales de la familia,92.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,motivo=Problemas vinculados a las condiciones materiales de la familia,91.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,motivo=Problemas vinculados a las condiciones materiales de la familia,93.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,motivo=Apoyo en el proceso de autonomía,89.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,motivo=Apoyo en el proceso de autonomía,82.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,motivo=Apoyo en el proceso de autonomía,96.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,motivo=Apoyo en el proceso de autonomía,95.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,motivo=Apoyo en el proceso de autonomía,71.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,motivo=Apoyo en el proceso de autonomía,46.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,motivo=Situación de violencia,219.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,motivo=Situación de violencia,221.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,motivo=Situación de violencia,164.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,motivo=Situación de violencia,130.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,motivo=Situación de violencia,102.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,motivo=Situación de violencia,60.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,motivo=Situación de calle,22.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,motivo=Situación de calle,17.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,motivo=Situación de calle,11.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,motivo=Situación de calle,15.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,motivo=Situación de calle,15.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,motivo=Situación de calle,10.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,motivo=Situación de consumo problemático,30.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,motivo=Situación de consumo problemático,27.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,motivo=Situación de consumo problemático,15.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,motivo=Situación de consumo problemático,14.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,motivo=Situación de consumo problemático,12.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,motivo=Situación de consumo problemático,5.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,motivo=Infracción,4.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,motivo=Infracción,7.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,motivo=Infracción,4.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,motivo=Infracción,7.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,motivo=Infracción,7.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,motivo=Infracción,12.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,"motivo=Voluntad del niño, niña o adolescente",8.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,"motivo=Voluntad del niño, niña o adolescente",6.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,"motivo=Voluntad del niño, niña o adolescente",2.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,"motivo=Voluntad del niño, niña o adolescente",6.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,"motivo=Voluntad del niño, niña o adolescente",8.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,"motivo=Voluntad del niño, niña o adolescente",7.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,motivo=Otros motivos de protección,40.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,motivo=Otros motivos de protección,30.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,motivo=Otros motivos de protección,28.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,motivo=Otros motivos de protección,22.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,motivo=Otros motivos de protección,25.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,motivo=Otros motivos de protección,21.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,motivo=Sin motivo de atención,514.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,motivo=Sin motivo de atención,410.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,motivo=Sin motivo de atención,430.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,motivo=Sin motivo de atención,390.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,motivo=Sin motivo de atención,298.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,motivo=Sin motivo de atención,351.0,cantidad
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2020,total,6.8,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2021,total,7.1,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2022,total,7.2,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2023,total,7.8,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2024,total,7.5,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2025,total,7.7,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2020,tramo=0 a 2 años,0.8,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2021,tramo=0 a 2 años,0.8,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2022,tramo=0 a 2 años,0.8,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2023,tramo=0 a 2 años,0.9,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2024,tramo=0 a 2 años,0.9,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2025,tramo=0 a 2 años,0.9,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2020,tramo=3 a 7 años,3.7,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2021,tramo=3 a 7 años,4.1,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2022,tramo=3 a 7 años,4.1,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2023,tramo=3 a 7 años,4.3,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2024,tramo=3 a 7 años,3.9,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2025,tramo=3 a 7 años,3.9,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2020,tramo=8 a 12 años,13.9,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2021,tramo=8 a 12 años,14.5,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2022,tramo=8 a 12 años,14.5,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2023,tramo=8 a 12 años,15.6,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2024,tramo=8 a 12 años,15.4,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2025,tramo=8 a 12 años,15.1,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2020,tramo=13 a 15 años,18.2,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2021,tramo=13 a 15 años,19.1,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2022,tramo=13 a 15 años,19.4,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2023,tramo=13 a 15 años,19.3,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2024,tramo=13 a 15 años,18.9,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2025,tramo=13 a 15 años,19.5,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2020,tramo=16 a 17 años,22.0,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2021,tramo=16 a 17 años,22.4,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2022,tramo=16 a 17 años,22.0,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2023,tramo=16 a 17 años,22.7,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2024,tramo=16 a 17 años,21.6,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2025,tramo=16 a 17 años,24.1,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2020,tramo=18 a 20 años,24.9,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2021,tramo=18 a 20 años,24.0,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2022,tramo=18 a 20 años,24.3,porcentaje
1.2,Porcentaje de NNA atendidos en el Sistema de Protección Especial respecto a la población total de INAU,Cobertura,2023,tramo=18 a 20 años,27.3,porcentaje
