indicador_codigo,indicador_nombre,departamento,periodo,apertura,valor,unidad
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2021-S1,total,1.0,cantidad
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2021-S2,total,2.0,cantidad
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2022-S1,total,1.0,cantidad
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2022-S2,total,4.0,cantidad
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2023-S1,total,8.0,cantidad
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2023-S2,total,8.0,cantidad
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2024-S1,total,6.0,cantidad
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2024-S2,total,9.0,cantidad
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2025-S1,total,4.0,cantidad
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2025-S2,total,7.0,cantidad
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2020-S1,total,0.8,porcentaje
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2020-S2,total,1.4,porcentaje
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2021-S1,total,0.6,porcentaje
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2021-S2,total,1.1,porcentaje
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2022-S1,total,0.5,porcentaje
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2022-S2,total,1.8,porcentaje
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2023-S1,total,3.4,porcentaje
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2023-S2,total,3.4,porcentaje
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2024-S1,total,2.5,porcentaje
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2024-S2,total,3.8,porcentaje
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2025-S1,total,1.6,porcentaje
10,Porcentaje de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en algún proyecto del departamento respecto al total de atendidos por el Sistema en el departamento,Artigas,2025-S2,total,2.5,porcentaje
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2020-S1,total,19.0,cantidad
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2020-S2,total,29.0,cantidad
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2021-S1,total,19.0,cantidad
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2021-S2,total,36.0,cantidad
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2022-S1,total,43.0,cantidad
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2022-S2,total,69.0,cantidad
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2023-S1,total,55.0,cantidad
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2023-S2,total,60.0,cantidad
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2024-S1,total,59.0,cantidad
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2024-S2,total,41.0,cantidad
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2025-S1,total,50.0,cantidad
11,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento,Artigas,2025-S2,total,90.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2020-S1,total,19.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2020-S2,total,29.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2021-S1,total,19.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2021-S2,total,36.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2022-S1,total,43.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2022-S2,total,69.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2023-S1,total,55.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2023-S2,total,60.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2024-S1,total,59.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2024-S2,total,41.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2025-S1,total,50.0,cantidad
12,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en el Sistema,Artigas,2025-S2,total,90.0,cantidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2020-S1,total,19.0,cantidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2020-S2,total,29.0,cantidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2021-S1,total,19.0,cantidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2021-S2,total,36.0,cantidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2022-S1,total,43.0,cantidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2022-S2,total,69.0,cantidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2023-S1,total,55.0,cantidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2023-S2,total,60.0,cantidad
13,Cantidad de NNA que egresan del Sistema de Protección Especial en el departamento según tiempos de permanencia en la intervención,Artigas,2024-S1,total,59.0,cantidad
