cuadro,titulo,fila,departamento,columna,valor,unidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Total|Mujeres,5853.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Total|Varones,6159.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,total,12012.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Primera Infancia|Mujeres,1.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Primera Infancia|Varones,2.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Infancia|Mujeres,395.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Infancia|Varones,411.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Adolescencia|Mujeres,3039.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Adolescencia|Varones,3520.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Juventud|Mujeres,217.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Juventud|Varones,255.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Juventud y Adultez|Mujeres,1.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Juventud y Adultez|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Total|Mujeres,3653.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,Total|Varones,4188.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centro Juvenil,Total país,total,7841.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Primera Infancia|Mujeres,1358.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Primera Infancia|Varones,1372.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Infancia|Mujeres,3261.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Infancia|Varones,3286.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Adolescencia|Mujeres,2538.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Adolescencia|Varones,2063.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Juventud|Mujeres,143.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención","Atención y apoyo a niños, niñas, adolescentes y familias",Total país,Juventud|Varones,94.0,cantidad
